,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
9458,411,SHOE,21,GENERAL MATERIAL,772030,07-Aug-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,525.0,,,,,6.0,6641221001,6641221001,"INDUSTRIAL SAFETY RUBBER LONG SHOES# 37, BOOT HEIGHT APPROX 15"". (---) (L-C) (Consumable-Local)",NOS,3150.0,0.0,,,,,6.0,3150.0,,38086160.02,,,783755340.3,
9579,423,SOCKET,19,"HARDWARE MATERIAL, PIPE & FITTINGS",747061,03-Mar-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,54.0,,,,,24.0,13362,13362,"SOCKET SCH-40 1"" (MS) (Consumable-Local)",NOS,1296.0,0.0,,,,,24.0,1296.0,,38086160.02,,,783755340.3,
9583,423,SOCKET,19,"HARDWARE MATERIAL, PIPE & FITTINGS",803306,05-Dec-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,90.25,,,,,24.0,18202,18202,SOCKET (PNEUMATIC SOCKET) 8X8MM SANGA KOREA (Consumable-Local),NOS,2166.0,50.0,,,,,24.0,2166.0,,38086160.02,,,783755340.3,
9601,427,SPANNER,16,TOOLS & INSTRUMENTS,760623,08-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,2350.0,,,,,2.0,30828,30828,"ADJUSTABLE SPANNER 12"" FORCE (Consumable-Local)",NOS,4700.0,0.0,,,,,2.0,4700.0,,38086160.02,,,783755340.3,
10062,443,STATIONERY,20,STATIONARY,792240,23-Oct-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,120.14,,,,,1.0,22476,22476,CORRECTION PEN TYPE (UNI CORRECTION) (Consumable-Local),NOS,120.14,8.0,,,,,23.0,589.748,,38086160.02,,,783755340.3,
10063,443,STATIONERY,20,STATIONARY,792240,23-Oct-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,26.0,,,,,3.0,13913,13913,STAPLER PIN 24/6 (Consumable-Local),PKT,78.0,54.0,,,,,23.0,589.748,,38086160.02,,,783755340.3,
10064,443,STATIONERY,20,STATIONARY,792240,23-Oct-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,89.18,,,,,2.0,6621,6621,HIGH LIGHTER PEN YELLOW PELIKAN (Consumable-Local),PCS,178.36,66.0,,,,,23.0,589.748,,38086160.02,,,783755340.3,
10065,443,STATIONERY,20,STATIONARY,792240,23-Oct-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,6.16,,,,,4.0,9794,9794,PEN (BALL PEN) BLACK CLEAR STICK (Consumable-Local),NOS,24.64,116.0,,,,,23.0,589.748,,38086160.02,,,783755340.3,
10066,443,STATIONERY,20,STATIONARY,792240,23-Oct-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,23.716,,,,,3.0,9811,9811,PEN (MARKER) DOLLER BLUE #.90 (Consumable-Local),NOS,71.148,75.0,,,,,23.0,589.748,,38086160.02,,,783755340.3,
10067,443,STATIONERY,20,STATIONARY,792240,23-Oct-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,6.16,,,,,6.0,9795,9795,PEN (BALL PEN) BLUE CLEAR STICK (Consumable-Local),NOS,36.96,219.0,,,,,23.0,589.748,,38086160.02,,,783755340.3,
10068,443,STATIONERY,20,STATIONARY,792240,23-Oct-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,27.5,,,,,2.0,9639,9639,PAD (ROUGH PAD)  LEADER  (LARGE) (Consumable-Local),NOS,55.0,34.0,,,,,23.0,589.748,,38086160.02,,,783755340.3,
10069,443,STATIONERY,20,STATIONARY,792240,23-Oct-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,12.75,,,,,2.0,9640,9640,ROUGH PAD LEADER SMALL (Consumable-Local),NOS,25.5,40.0,,,,,23.0,589.748,,38086160.02,,,783755340.3,
10455,443,STATIONERY,20,STATIONARY,833655,02-Apr-21,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,7.9499861,,,,,5.0,9821,9821,PENCIL DUX (Consumable-Local),NOS,39.7499305,128.0,,,,,10.0,162.7499305,,38086160.02,,,783755340.3,
10456,443,STATIONERY,20,STATIONARY,833655,02-Apr-21,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,24.6,,,,,5.0,9810,9810,PEN (MARKER) DOLLER A-70 BLACK (Consumable-Local),NOS,123.0,50.0,,,,,10.0,162.7499305,,38086160.02,,,783755340.3,
10871,446,STICKER,20,STATIONARY,772030,07-Aug-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,90.0,,,,,100.0,48596,48596,STICKER (WASH YOUR HANDS) STANDARD SIZE (Consumable-Local),NOS,9000.0,0.0,,,,,100.0,9000.0,,38086160.02,,,783755340.3,
11008,458,SWITCH,17,ELECTRICAL,772030,07-Aug-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,220.0,,,,,50.0,14308,14308,SWITCH ON/OFF 16 AMP JUKI MACHINE (Consumable-Local),NOS,11000.0,200.0,,,,,50.0,11000.0,,38086160.02,,,783755340.3,
11130,465,TEE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",803306,05-Dec-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,90.0,,,,,24.0,14468,14468,TEE (PNEUMATIC EQUAL TEE) 8MM 8 MM (Consumable-Local),NOS,2160.0,26.0,,,,,24.0,2160.0,,38086160.02,,,783755340.3,
11153,474,THINNER,19,"HARDWARE MATERIAL, PIPE & FITTINGS",760623,08-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,1150.0,,,,,8.0,14705,14705,THINNER 3.64 LTR. TIN ICI (Consumable-Local),TIN,9200.0,0.0,,,,,8.0,9200.0,,38086160.02,,,783755340.3,
11154,474,THINNER,19,"HARDWARE MATERIAL, PIPE & FITTINGS",781069,07-Sep-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,315.9300977,,,,,32.76,14706,14706,THINNER 3.64 LTR/TIN ICI (Consumable-Local),LTR,10349.87,0.0,,,,,32.76,10349.87,,38086160.02,,,783755340.3,
11207,480,TOOL,16,TOOLS & INSTRUMENTS,782968,15-Sep-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,59400.0,,,,,1.0,6281621008,6281621008,200 DETECTOR REMOVAL TOOL (SOLO) (L-C) (Consumable-Local),NOS,59400.0,0.0,,,,,1.0,59400.0,,38086160.02,,,783755340.3,
11255,499,VALVE,18,MECHANICAL,818999,04-Feb-21,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,8550.0,,,,,2.0,6576421001,6576421001,"AUTOMATIC ELECTRONIC DRAIN VALVE WITH TIMER, SIZE: 1/2"", VOLTAGES: 220 VAC, (---) (L-C) (Consumable-Local)",NOS,17100.0,3.0,,,,,2.0,17100.0,,38086160.02,,,783755340.3,
11267,499,VALVE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",747061,03-Mar-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,581.0,,,,,2.0,794,794,"BALL VALVE 1"" KITZ (Consumable-Local)",NOS,1162.0,0.0,,,,,2.0,1162.0,,38086160.02,,,783755340.3,
11294,510,WHEEL,18,MECHANICAL,772030,07-Aug-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,1750.0,,,,,12.0,16952,16952,"WHEEL WITH M.S BASE MOVEABLE 8"" FOR LOADING TROLLY (Consumable-Local)",NOS,21000.0,0.0,,,,,12.0,21000.0,,38086160.02,,,783755340.3,
11548,679,MISC. MECHANICAL ACCESSORIES,18,MECHANICAL,782968,15-Sep-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,69300.0,,,,,1.0,6281321009,6281321009,100 TELESCOPIC ACCESS POLES (SOLO) (L-C) (Consumable-Local),NOS,69300.0,0.0,,,,,2.0,103950.0,,38086160.02,,,783755340.3,
11549,679,MISC. MECHANICAL ACCESSORIES,18,MECHANICAL,782968,15-Sep-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,34650.0,,,,,1.0,6281421009,6281421009,101 EXTENSION POLES (SOLO) (L-C) (Consumable-Local),NOS,34650.0,0.0,,,,,2.0,103950.0,,38086160.02,,,783755340.3,
